,lat,lng,x,y,single_index
199,11.125,119.875,24,11,971
200,11.125,121.875,24,19,979
201,11.125,123.125,24,24,984
202,11.125,123.375,24,25,985
203,11.125,123.625,24,26,986
204,11.125,124.375,24,29,989
205,11.125,125.125,24,32,992
206,11.125,125.375,24,33,993
207,11.125,125.625,24,34,994
208,11.375,119.125,25,8,1008
209,11.375,119.375,25,9,1009
210,11.375,119.875,25,11,1011
211,11.375,121.875,25,19,1019
212,11.375,123.375,25,25,1025
213,11.375,124.375,25,29,1029
214,11.375,124.625,25,30,1030
215,11.375,124.875,25,31,1031
216,11.375,125.625,25,34,1034
217,11.625,119.375,26,9,1049
218,11.625,119.625,26,10,1050
219,11.625,119.875,26,11,1051
220,11.625,121.875,26,19,1059
221,11.625,122.125,26,20,1060
222,11.625,122.625,26,22,1062
223,11.625,122.875,26,23,1063
224,11.625,123.125,26,24,1064
225,11.625,123.375,26,25,1065
226,11.625,124.625,26,30,1070
227,11.625,125.625,26,34,1074
228,11.875,122.125,27,20,1100
229,11.875,122.375,27,21,1101
230,11.875,122.625,27,22,1102
231,11.875,124.375,27,29,1109
232,11.875,124.625,27,30,1110
233,11.875,125.625,27,34,1114
234,12.125,120.875,28,15,1135
235,12.125,121.125,28,16,1136
236,12.125,121.375,28,17,1137
237,12.125,121.625,28,18,1138
238,12.125,123.125,28,24,1144
239,12.125,123.375,28,25,1145
240,12.125,123.625,28,26,1146
241,12.125,123.875,28,27,1147
242,12.125,124.375,28,29,1149
243,12.125,125.625,28,34,1154
244,12.375,120.875,29,15,1175
245,12.375,121.625,29,18,1178
246,12.375,123.125,29,24,1184
247,12.375,123.875,29,27,1187
248,12.375,124.375,29,29,1189
249,12.375,125.375,29,33,1193
250,12.375,125.625,29,34,1194
251,12.625,120.625,30,14,1214
252,12.625,120.875,30,15,1215
253,12.625,121.625,30,18,1218
254,12.625,123.125,30,24,1224
255,12.625,123.375,30,25,1225
256,12.625,123.625,30,26,1226
257,12.625,123.875,30,27,1227
258,12.625,124.125,30,28,1228
259,12.625,124.375,30,29,1229
260,12.625,124.625,30,30,1230
261,12.625,124.875,30,31,1231
262,12.625,125.125,30,32,1232
263,12.625,125.375,30,33,1233
264,12.875,120.625,31,14,1254
265,12.875,121.625,31,18,1258
266,12.875,123.125,31,24,1264
267,12.875,123.375,31,25,1265
268,12.875,123.625,31,26,1266
269,12.875,124.125,31,28,1268
270,13.125,120.375,32,13,1293
271,13.125,120.625,32,14,1294
272,13.125,121.625,32,18,1298
273,13.125,123.125,32,24,1304
274,13.125,124.125,32,28,1308
275,13.375,120.375,33,13,1333
276,13.375,121.375,33,17,1337
277,13.375,121.625,33,18,1338
278,13.375,122.875,33,23,1343
279,13.375,123.125,33,24,1344
280,13.375,123.875,33,27,1347
281,13.375,124.125,33,28,1348
282,13.625,120.375,34,13,1373
283,13.625,120.625,34,14,1374
284,13.625,120.875,34,15,1375
285,13.625,121.125,34,16,1376
286,13.625,121.375,34,17,1377
287,13.625,121.625,34,18,1378
288,13.625,121.875,34,19,1379
289,13.625,122.125,34,20,1380
290,13.625,122.375,34,21,1381
291,13.625,122.625,34,22,1382
292,13.625,122.875,34,23,1383
293,13.625,123.625,34,26,1386
294,13.625,123.875,34,27,1387
295,13.875,120.625,35,14,1414
296,13.875,120.875,35,15,1415
297,13.875,121.625,35,18,1418
298,13.875,121.875,35,19,1419
299,13.875,122.625,35,22,1422
300,13.875,123.125,35,24,1424
301,13.875,123.875,35,27,1427
302,14.125,120.625,36,14,1454
303,14.125,121.875,36,19,1459
304,14.125,122.125,36,20,1460
305,14.125,123.125,36,24,1464
306,14.125,123.375,36,25,1465
307,14.125,123.625,36,26,1466
308,14.125,123.875,36,27,1467
309,14.375,120.625,37,14,1494
310,14.375,120.875,37,15,1495
311,14.375,121.875,37,19,1499
