,lat,lng,x,y,single_index
194,10.875,124.125,23,28,1316
195,10.875,124.375,23,29,1317
196,10.875,124.625,23,30,1318
197,10.875,125.125,23,32,1320
198,11.125,119.125,24,8,1352
199,11.125,119.875,24,11,1355
200,11.125,121.875,24,19,1363
201,11.125,123.125,24,24,1368
202,11.125,123.375,24,25,1369
203,11.125,123.625,24,26,1370
204,11.125,124.375,24,29,1373
205,11.125,125.125,24,32,1376
206,11.125,125.375,24,33,1377
207,11.125,125.625,24,34,1378
208,11.375,119.125,25,8,1408
209,11.375,119.375,25,9,1409
210,11.375,119.875,25,11,1411
211,11.375,121.875,25,19,1419
212,11.375,123.375,25,25,1425
213,11.375,124.375,25,29,1429
214,11.375,124.625,25,30,1430
215,11.375,124.875,25,31,1431
216,11.375,125.625,25,34,1434
217,11.625,119.375,26,9,1465
218,11.625,119.625,26,10,1466
219,11.625,119.875,26,11,1467
220,11.625,121.875,26,19,1475
221,11.625,122.125,26,20,1476
222,11.625,122.625,26,22,1478
223,11.625,122.875,26,23,1479
224,11.625,123.125,26,24,1480
225,11.625,123.375,26,25,1481
226,11.625,124.625,26,30,1486
227,11.625,125.625,26,34,1490
228,11.875,122.125,27,20,1532
229,11.875,122.375,27,21,1533
230,11.875,122.625,27,22,1534
231,11.875,124.375,27,29,1541
232,11.875,124.625,27,30,1542
233,11.875,125.625,27,34,1546
234,12.125,120.875,28,15,1583
235,12.125,121.125,28,16,1584
236,12.125,121.375,28,17,1585
237,12.125,121.625,28,18,1586
238,12.125,123.125,28,24,1592
239,12.125,123.375,28,25,1593
240,12.125,123.625,28,26,1594
241,12.125,123.875,28,27,1595
242,12.125,124.375,28,29,1597
243,12.125,125.625,28,34,1602
244,12.375,120.875,29,15,1639
245,12.375,121.625,29,18,1642
246,12.375,123.125,29,24,1648
247,12.375,123.875,29,27,1651
248,12.375,124.375,29,29,1653
249,12.375,125.375,29,33,1657
250,12.375,125.625,29,34,1658
251,12.625,120.625,30,14,1694
252,12.625,120.875,30,15,1695
253,12.625,121.625,30,18,1698
254,12.625,123.125,30,24,1704
255,12.625,123.375,30,25,1705
256,12.625,123.625,30,26,1706
257,12.625,123.875,30,27,1707
258,12.625,124.125,30,28,1708
259,12.625,124.375,30,29,1709
260,12.625,124.625,30,30,1710
261,12.625,124.875,30,31,1711
262,12.625,125.125,30,32,1712
263,12.625,125.375,30,33,1713
264,12.875,120.625,31,14,1750
265,12.875,121.625,31,18,1754
266,12.875,123.125,31,24,1760
267,12.875,123.375,31,25,1761
268,12.875,123.625,31,26,1762
269,12.875,124.125,31,28,1764
270,13.125,120.375,32,13,1805
271,13.125,120.625,32,14,1806
272,13.125,121.625,32,18,1810
273,13.125,123.125,32,24,1816
274,13.125,124.125,32,28,1820
275,13.375,120.375,33,13,1861
276,13.375,121.375,33,17,1865
277,13.375,121.625,33,18,1866
278,13.375,122.875,33,23,1871
279,13.375,123.125,33,24,1872
280,13.375,123.875,33,27,1875
281,13.375,124.125,33,28,1876
282,13.625,120.375,34,13,1917
283,13.625,120.625,34,14,1918
284,13.625,120.875,34,15,1919
285,13.625,121.125,34,16,1920
286,13.625,121.375,34,17,1921
287,13.625,121.625,34,18,1922
288,13.625,121.875,34,19,1923
289,13.625,122.125,34,20,1924
290,13.625,122.375,34,21,1925
291,13.625,122.625,34,22,1926
292,13.625,122.875,34,23,1927
293,13.625,123.625,34,26,1930
294,13.625,123.875,34,27,1931
295,13.875,120.625,35,14,1974
296,13.875,120.875,35,15,1975
297,13.875,121.625,35,18,1978
298,13.875,121.875,35,19,1979
299,13.875,122.625,35,22,1982
300,13.875,123.125,35,24,1984
301,13.875,123.875,35,27,1987
302,14.125,120.625,36,14,2030
303,14.125,121.875,36,19,2035
304,14.125,122.125,36,20,2036
305,14.125,123.125,36,24,2040
306,14.125,123.375,36,25,2041
307,14.125,123.625,36,26,2042
308,14.125,123.875,36,27,2043
309,14.375,120.625,37,14,2086
310,14.375,120.875,37,15,2087
311,14.375,121.875,37,19,2091
312,14.375,122.125,37,20,2092
313,14.375,122.375,37,21,2093
314,14.375,122.625,37,22,2094
315,14.375,122.875,37,23,2095
316,14.375,123.125,37,24,2096
317,14.625,120.125,38,12,2140
318,14.625,120.375,38,13,2141
319,14.625,120.625,38,14,2142
320,14.625,120.875,38,15,2143
321,14.625,121.625,38,18,2146
322,14.625,121.875,38,19,2147
323,14.875,119.875,39,11,2195
324,14.875,120.125,39,12,2196
325,14.875,121.625,39,18,2202
326,15.125,119.875,40,11,2251
327,15.125,121.625,40,18,2258
328,15.375,119.875,41,11,2307
329,15.375,121.625,41,18,2314
330,15.625,119.875,42,11,2363
331,15.625,121.625,42,18,2370
332,15.875,119.875,43,11,2419
333,15.875,121.625,43,18,2426
334,15.875,121.875,43,19,2427
335,16.125,119.875,44,11,2475
336,16.125,120.125,44,12,2476
337,16.125,120.375,44,13,2477
338,16.125,121.875,44,19,2483
339,16.125,122.125,44,20,2484
340,16.125,122.375,44,21,2485
341,16.375,120.125,45,12,2532
342,16.375,120.375,45,13,2533
343,16.375,122.375,45,21,2541
344,16.625,120.125,46,12,2588
345,16.625,122.375,46,21,2597
346,16.625,122.625,46,22,2598
347,16.875,120.125,47,12,2644
348,16.875,120.375,47,13,2645
349,16.875,122.625,47,22,2654
350,17.125,120.375,48,13,2701
351,17.125,122.625,48,22,2710
352,17.375,120.375,49,13,2757
353,17.375,122.375,49,21,2765
354,17.375,122.625,49,22,2766
355,17.625,120.375,50,13,2813
356,17.625,122.375,50,21,2821
357,17.875,120.375,51,13,2869
358,17.875,122.375,51,21,2877
359,18.125,120.375,52,13,2925
360,18.125,122.375,52,21,2933
361,18.375,120.375,53,13,2981
362,18.375,120.625,53,14,2982
363,18.375,121.625,53,18,2986
364,18.375,121.875,53,19,2987
365,18.375,122.125,53,20,2988
366,18.375,122.375,53,21,2989
367,18.625,120.625,54,14,3038
368,18.625,120.875,54,15,3039
369,18.625,121.125,54,16,3040
370,18.625,121.375,54,17,3041
371,18.625,121.625,54,18,3042
