 0.0000132, 1.3120974, 1.8080372, 3.8437357, 5.9457955, 6.1340111, 6.2004264, 6.2287233, 6.3539511, 6.4166429, 6.4223973, 6.5559356, 6.5624152, 6.5973096, 6.6080772
 0.0000121, 1.3120974, 1.7473970, 4.3850087, 6.4453004, 6.6287027, 6.7078683, 6.8889258, 6.9639638, 6.9759292, 6.9953920, 7.0189167, 7.0786930, 7.1127616, 7.1194029
 0.0000121, 1.7473970, 1.8080372, 3.0186268, 5.9509329, 6.3891701, 6.4718544, 6.5192411, 6.5300612, 6.6050204, 6.6773418, 6.7016857, 6.7668016, 6.7747986, 6.7752422
 0.0000132, 2.1222624, 2.2457962, 4.0392931, 4.5172898, 4.6297414, 5.2529420, 5.5666691, 5.6894985, 6.6596479, 6.6605404, 7.1755485, 7.5139473, 7.8503819, 8.5028286
 0.0000132, 2.1222624, 2.8303895, 3.4105119, 4.0897675, 4.7810747, 5.2626891, 5.6432882, 5.8700758, 6.0549971, 6.4651369, 6.6551930, 6.9873528, 7.4481744, 7.8108316
 0.0000132, 2.1736833, 2.8303895, 4.1023406, 4.6297414, 4.8366202, 5.2198757, 5.8763420, 6.2053049, 6.5591077, 6.5683554, 6.8705522, 7.0729905, 7.0820116, 7.2027902
 0.0000132, 1.6653530, 1.9779535, 3.0336455, 3.7004735, 3.9015251, 4.3312358, 4.7473463, 4.8502883, 5.2641144, 5.4601550, 5.4713889, 5.6177931, 5.7645727, 5.9781769
 0.0000132, 1.6653530, 2.2188509, 2.3912966, 3.7265809, 4.7957996, 5.0444819, 5.3399988, 5.3664599, 5.4956988, 5.5383755, 5.5950413, 5.6074773, 5.6506899, 5.6741348
 0.0000143, 2.3912966, 3.3048591, 3.7004735, 4.0506785, 5.1125047, 5.1366439, 5.3622480, 5.5541156, 5.8527179, 5.8649388, 5.9051668, 5.9509329, 5.9519245, 5.9862425
 0.0000132, 3.0186268, 3.3048591, 3.8437357, 4.3850087, 5.3399988, 5.8181278, 5.8294084, 5.8815730, 5.9074363, 5.9456958, 5.9746292, 5.9994006, 6.0503219, 6.0660035
 0.0000108, 2.0854478, 2.2457962, 2.9758868, 3.4105119, 4.3797710, 5.2198757, 5.4126327, 5.5503154, 6.1573621, 6.6822300, 7.1999587, 7.5086144, 8.3686851, 8.6404982
 0.0000132, 2.1736833, 2.2841413, 3.3095013, 4.0897675, 5.5503154, 5.5666691, 5.6997541, 5.7105602, 6.0178821, 6.5107901, 6.7333201, 7.0994500, 7.4518648, 7.5398735
 0.0000162, 1.4772604, 1.6529050, 2.2204506, 3.0673435, 3.5462922, 3.9015251, 4.0146487, 4.7957996, 4.8361333, 5.4660213, 6.0163942, 6.3675736, 6.5693911, 6.7708334
 0.0000132, 1.6529050, 2.1163411, 2.1372396, 3.0336455, 3.3192005, 3.5227101, 3.7265809, 4.7989869, 4.9868923, 5.1366439, 5.4341222, 6.2271250, 6.4457269, 6.7429523
